,name,link_to_all_reviews,Date First Available,Is Discontinued By Manufacturer,ASIN,Neck Material Type,Color Screen,Language:,Screen Size,Display Technology,Voice Command,Speaker Count,Fill Material,Product Dimensions,Wireless Communication Technology,Computer Memory Size,Connectivity Technology,Mfr Part Number,Release date,Manufacturer recommended age,Compatible Phone Models,Specific Uses for Product,Hardware Interface,Fretboard Material,Connector Type,Number of Strings,Batteries,Guitar Pickup Configuration,Color Name,Material Composition,Color,Wattage,Proficiency Level,Size,Scale Length,Musical Style,Is Dishwasher Safe,Domestic Shipping,Rated,Hardware Platform,Guitar Pick Thickness,Brand name,Voltage,Fabric Type,Pricing,Batteries Required,Package Weight,Our Recommended age,Output Wattage,Item Weight,Phone Standy Time (with data),Special Features,National Stock Number,Back Material,Item model number,Operating System,Compatible Devices,Mfg Recommended age,Headphones Jack,Manufacturer,Department,Item Package Dimensions L x W x H,Package Dimensions,Speaker Amplification Type,Phone Talk Time,Number of Keyboard Keys,Body Material,Guitar Bridge System,Form Factor,Material Type,Frequency,Supported Software,Top Material,Other display features,Included Components,Best Sellers Rank,Warranty,International Shipping,Power Source
10,"Betron ELR50 Earbuds, in Ear Headphones with Mic and Remote Control, Noise Isolating Earphones, Bass Driven Sound, Premium Audio Quality, Compatible with iPhone and Android Devices, Black",https://www.amazon.com/Betron-Earphones-Headphones-Balanced-Isolating/product-reviews/B01M8G5K8W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 6, 2017",No,B01M8G5K8W,,,,,,,,,2 x 2 x 7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52 ounces,,,,,ELR50 with Remote,,,,,Betron,,,,,,,,,,,,,,,,#495 in Earbud & In-Ear Headphones,,,
11,"Earbuds, Betron MK23Mic Headphones with Microphone, Noise Isolating Earphones, Flat Wired Earbud for iPhone, iPad, Laptops, Cellphones, Samsung and Android Smartphones, Black",https://www.amazon.com/Betron-MK23-Headphones-Microphone-Tangle-Free/product-reviews/B07HLTDQ7B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 23, 2018",No,B07HLTDQ7B,,,,,,,,,2 x 2 x 7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564 ounces,,,,,MK23,,,,,Betron,,,,,,,,,,,,,,,,#231 in Earbud & In-Ear Headphones,,,
12,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 26, 2015",No,B019U00D7K,,,,,,,,,6.54 x 3.62 x 7.13 inches,,,,,,,,,,,,,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,,,,,,,,13.6 ounces,,,,,e7,,,,,COWIN,,,,,,,,,,,,,,,,#1 in Over-Ear Headphones,,,
13,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),https://www.amazon.com/Kids-Headphones-products-Tangle-Free-Ear/product-reviews/B0746RBK2M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 24, 2017",No,B0746RBK2M,,,,,,,,,5 x 4 x 2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ounces,,,,,4330344982,,,,,noot products,Electronics,,,,,,,,,,,,,,,#2 in On-Ear Headphones,,,
14,"Wired Headphones, Amoner Earbuds Waterproof Sports Earphones, Stereo Sound Headphones Headsets with Built-in Mic for Phone 6/6s Plus/5s/SE, Galaxy, Android Smartphones, Tablets",https://www.amazon.com/Headphones-Amoner-Waterproof-Earphones-Smartphones/product-reviews/B08862DNM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 12, 2020",,B08862DNM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81 ounces,,,,,,,,,,Amoner,,,3.2 x 2.4 x 0.8 inches,,,,,,,,,,,,,#157 in Earbud & In-Ear Headphones,,,
15,Panasonic Headphones RP-HT161-K Full-Sized Over-the-Ear Lightweight Long-Corded (Black),https://www.amazon.com/Panasonic-Headphones-RP-HT161-K-Lightweight-Long-Corded/product-reviews/B075LT8YLR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 11, 2017",No,B075LT8YLR,,,,,,,,,4.1 x 7 x 7.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6 ounces,,,,,RP-HT161-K,,,,,Panasonic,,,,,,,,,,,,,,,,#28 in On-Ear Headphones #43 in Over-Ear Headphones,,,
16,"Rockpapa On Ear Stereo Headphones Earphones for Adults Kids Childs Teens, Adjustable, Heavy Deep Bass for iPhone iPod iPad MacBook Surface MP3 DVD Smartphones Laptop (Black/Red)",https://www.amazon.com/Headphones-Earphones-Isolating-Adjustable-SmartPhones/product-reviews/B0144WJSE8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 5, 2016",No,B0144WJSE8,,,,,,,,,7.87 x 7.48 x 3.15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8 ounces,,,,,Comfort,,,,,RockPapa Inc,,,,,,,,,,,,,,,,#166 in Over-Ear Headphones,,,
17,"OneOdio Adapter-Free Closed Back Over Ear DJ Stereo Monitor Headphones, Professional Studio Monitor & Mixing, Telescopic Arms with Scale, Newest 50mm Neodymium Drivers - Black",https://www.amazon.com/OneOdio-Adapter-Free-Headphones-Professional-Telescopic/product-reviews/B01N6ZJH96/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 7, 2017",No,B01N6ZJH96,,,,,,,,,7.09 x 5.51 x 3.94 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6 ounces,,,,,709466429447,,,,,OneOdio USA,,,,,,,,,,,,,,,,#15 in Musical Instruments ( See Top 100 in Musical Instruments ) #1 in DJ Headphones,,,
18,"Tascam TH-02 Closed Back Studio Headphones, Black",https://www.amazon.com/Tascam-TH-02-Closed-Studio-Headphones/product-reviews/B00B1N06PO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 15, 2013",No,B00B1N06PO,,,,,,,,,7 x 3.5 x 8.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01 pounds,,,,,TH02,,,,,Tascam,,,,,,,,,,,,,,,,#45 in Over-Ear Headphones,,,
19,MUNSKT Color Headphones Heavy bass Earphone in Ear Headphones Headphones with Microphone Mobile Phone Earphone Wired Earphone 3.5mm Headphones (Mixed Color 4pack),https://www.amazon.com/MUNSKT-Headphones-Earphone-Microphone-Mobile/product-reviews/B082VKW3W7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 17, 2019",,B082VKW3W7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39 ounces,,,,,,,,,,MUNSKT,,,6.3 x 3.2 x 0.7 inches,,,,,,,,,,,,,#274 in Earbud & In-Ear Headphones,,,
20,"Betron YSM1000 Earbuds with Microphone and Remote Control, Noise Isolating Earphones, Powerful Bass, in Ear Headphones Compatible with iPhone, Tablets, iPad, Samsung",https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 11, 2017",No,B00XBZY0EI,,,,,,,,,2 x 2 x 7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48 ounces,,,,,Apple YSM1000,,,,,Betron,,,,,,,,,,,,,,,,#52 in Earbud & In-Ear Headphones,,,
21,"Betron B25 Earphones with Mic and Volume Control, Powerful Bass, Noise Isolating, Replaceable Earbuds, Portable in Ear Headphones, Compatible with iPhone, iPad, Tablets, Samsung Cell Phones",https://www.amazon.com/Betron-Isolating-Headphones-Earphones-Smartphones/product-reviews/B079GFF4HZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 14, 2018",No,B079GFF4HZ,,,,,,,,,2 x 2 x 7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 ounces,,,,,B25VC Black,,,,,Betron,,,,,,,,,,,,,,,,#195 in Earbud & In-Ear Headphones,,,
22,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/product-reviews/B07Q9MJKBV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 29, 2019",No,B07Q9MJKBV,,,,,,,,,2 x 6.5 x 8 inches,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,8.8 ounces,,,,,794297-0100,,,,,BOSE,,,,,,,,,,,,,,,,#18 in Over-Ear Headphones,,,
23,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",https://www.amazon.com/Headphones-Microphone-Lightweight-Comfortable-Foldable/product-reviews/B07J5X68B2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 8, 2018",No,B07J5X68B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2 ounces,,,,,M-35,,,,,Sonitum,,,8.4 x 8.2 x 2.7 inches,,,,,,,,,,,,,#97 in On-Ear Headphones,,,
24,"AfterShokz Titanium Open Ear Wireless Bone Conduction Headphones, Black, AS600BK, 2.3",https://www.amazon.com/Aftershokz-Trekz-Titanium-Pink-One/product-reviews/B07DMDD776/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 8, 2017",No,B07DMDD776,,,,,,,,,5.31 x 2.6 x 6.54 inches,,,,,,,,,,,,,1 CR2 batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,1.27 ounces,,,,,AS600,,,,,AfterShokz,,,,,,,,,,,,,,,,#7 in On-Ear Headphones #17 in Over-Ear Headphones,,,
25,"VIPEX Active Noise Cancelling Headphones, Bluetooth 5.0 Headphones Wireless Over Ear Headphones with Microphone, All Day Power with 30 Hours Playtime, Comfortable Protein Earpads (Black)",https://www.amazon.com/VIPEX-Cancelling-Headphones-Microphone-Comfortable/product-reviews/B083LM2W2W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 19, 2020",No,B083LM2W2W,,,,,,,,,5.1 x 2.3 x 7 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,1.2 pounds,,,,,,,,,,VIPEX,,,,,,,,,,,,,,,,#153 in Over-Ear Headphones,,,
26,"POWMEE M2 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children/Teens/Girls/School/Kindle/Airplane/Plane/ (Blue)",https://www.amazon.com/POWMEE-M2-Headphones-Adjustable-Tangle-Free/product-reviews/B07P7SXYRB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 26, 2019",,B07P7SXYRB,,,,,,,,,6.9 x 2.6 x 5.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ounces,,,,,M2,,,,,POWMEE,,,,,,,,,,,,,,,,#74 in On-Ear Headphones,,,
27,"Wireless Earbuds Bluetooth 5.0 Noise Cancelling Headphones with Fast Charging Case, IPX5 Waterproof 3D Stereo Headphones Built in Mic, Auto Pairing Bluetooth Earbuds for iPhone/Android",https://www.amazon.com/Wireless-Bluetooth-Cancelling-Headphones-Waterproof/product-reviews/B088NSY2B1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 15, 2020",,B088NSY2B1,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,3.2 ounces,,,,,,,,,,Binyi,,,3.46 x 3.46 x 1.57 inches,,,,,,,,,,,,,#258 in Earbud & In-Ear Headphones,,,
28,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Rose Gold)",https://www.amazon.com/PowerLocus-Bluetooth-Over-Ear-Headphones-Wireless/product-reviews/B07D3P2J6C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 13, 2018",No,B07D3P2J6C,,,,,,,,,6.7 x 6.7 x 3.33 inches,Bluetooth,,"Bluetooth, RF, Wired",,,,,,,,,,,,,,Rose Gold,,,,,,,,,,,,,,,,,,,14.8 ounces,,"Bluetooth 5.0, HD Stereo",,,4351627604,,,,Micro USB,PowerLocus,,,,,,,,,,,,,,Wireless_display_on_website,,#196 in Over-Ear Headphones,,,
29,"Sleep Headphones Wireless, Perytong Bluetooth Sports Headband Headphones with Ultra-Thin HD Stereo Speakers Perfect for Sleeping,Workout,Jogging,Yoga,Insomnia, Air Travel, Meditation",https://www.amazon.com/Sleep-Headphones-Perytong-Ultra-Thin-Meditation/product-reviews/B07SHBQY7Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 31, 2019",,B07SHBQY7Z,,,,,,,,,10.24 x 3.94 x 0.47 inches,,,,,,,,,,,,,2 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,2.82 ounces,,,,,Sleep Headphones,,,,,Perytong,Unisex-adult / unisex- teenager / unisex-children,,,,,,,,,,,,,,,#21 in Over-Ear Headphones,,,
30,Kids Headphones-noot products K22 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane/Plane/Tablet (Teal/Lime),https://www.amazon.com/Headphones-noot-products-K22-Tangle-Free-Smartphones/product-reviews/B07H2NQMLD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 3, 2018",No,B07H2NQMLD,,,,,,,,,4 x 5 x 2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ounces,,,,,K22,,,,,noot products,,,,,,,,,,,,,,,,#40 in On-Ear Headphones,,,
31,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Dark Bule)",https://www.amazon.com/LORELEI-X6-Headphones-Microphone-Lightweight/product-reviews/B08972JFW8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 26, 2020",No,B08972JFW8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3 ounces,,,,,X6,,,,,LORELEI,,,6 x 5.1 x 3 inches,,,,,,,,,,,,,#702 in Over-Ear Headphones,,,
32,"Bose SoundSport, Wireless Earbuds, (Sweatproof Bluetooth Headphones for Running and Sports), Black",https://www.amazon.com/Bose-SoundSport-Wireless-Headphones-761529-0010/product-reviews/B01L7PSJFO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"June 5, 2016",No,B01L7PSJFO,,,,,,,,,0.98 x 1.2 x 1.2 inches,,,,,,,,,,,,,1 Lithium Metal batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,0.8 ounces,,,,,761529-0010,,,,,Bose Corporation,,,,,,,,,,,,,,,,#28 in Earbud & In-Ear Headphones,,,
33,"Sony MDRZX110NC Noise Cancelling Headphones, Black, medium",https://www.amazon.com/Sony-MDRZX110NC-Noise-Cancelling-Headphones/product-reviews/B00NG57H4S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 28, 2017",No,B00NG57H4S,,,,,,,,,7.4 x 5.8 x 2 inches,,,,,,,,,,,,,1 AA batteries required.,,,,,,,,,,,,,,,,,,,,,,,5.3 ounces,,,,,MDRZX110NC,,,,,Sony,,,,,,,,,,,,,,,,#71 in Over-Ear Headphones,,,
34,"POWMEE M1 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children (Blue)",https://www.amazon.com/POWMEE-M1-Headphones-Adjustable-Tangle-Free/product-reviews/B07MF6QJBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 3, 2019",No,B07MF6QJBM,,,,,,,,,7.1 x 2.8 x 5.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8 ounces,,,,,M1,,,,,POWMEE,,,,,,,,,,,,,,,,#22 in On-Ear Headphones,,,
35,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/product-reviews/B000AJIF4E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"June 17, 2003",No,B000AJIF4E,,No,,2.4 inches,,,,,1 x 1 x 1 inches,,,,,,,,,,,,,,,Black,,,,,"7"" x 7"" x 1""",,,,,,,,,,,,,,,,8 ounces,,,,,MDR7506,,,,,,,,,,,,,,,,,,,,,#69 in Over-Ear Headphones,,,
36,"Boltune Wireless Headphones, Bluetooth V5.0 IPX7 Waterproof 16 Hours Playtime Bluetooth Headphones, with Magnetic Connection, Sports Earbuds for Running Built-in Mic",https://www.amazon.com/Boltune-Headphones-Bluetooth-Waterproof-Connection/product-reviews/B07VWQ5GKV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 1, 2019",,B07VWQ5GKV,,,,,,,,,0.24 x 1.18 x 0.94 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 ounces,,,,,BT-BH001,,,,,Boltune,,,,,,,,,,,,,,,,#120 in Earbud & In-Ear Headphones,,,
37,"iLuv TB100 Rose Gold True Wireless Earbuds Cordless in-Ear Bluetooth 5.0 with Hands-Free Call Microphone, IPX6 Waterproof Protection, High-Fidelity Sound; Includes Compact Charging Case & 3 Ear Tips",https://www.amazon.com/Hands-Free-Microphone-Waterproof-Protection-High-Fidelity/product-reviews/B082XGZ455/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 19, 2019",No,B082XGZ455,,,,,,,,,2.6 x 1.35 x 1.1 inches,,,,,,,,,,,,,3 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,1.23 ounces,,,,,TB100RG,,,,,iLuv,,,,,,,,,,,,,,,,#11 in Earbud & In-Ear Headphones,,,
38,"iPhone Headphone Adapter, Compatible with iPhone 7/7Plus/8/X/Xs Max/XR/11 Pro Max Adapter Headphone Jack, to 3.5 mm Headphone Adapter Jack Compatible with iOS 11 12 13 White (Not Bluetooth) (2 Pack)",,"March 19, 2020",,B0863GKH6L,,,,,,,,,1.97 x 1.97 x 0.39 inches,,,,,,,,,,,,,,,,,2 Pack-(White),,,,,,,,,,,,,,,,,,,0.4 ounces,,,,,B0863GKH6L,,,,,IearaTTA,,,,,,,,,,,,,,Wireless_display_on_website,1,#195 in Headphone Adapters,,,
39,"Audio-Technica ATH-M30x Professional Studio Monitor Headphones, Black",https://www.amazon.com/Audio-Technica-ATH-M30x-Professional-Monitor-Headphones/product-reviews/B00HVLUQW8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 23, 2014",No,B00HVLUQW8,,,,,,,,,11.4 x 10 x 4.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8 ounces,,,,,ATH-M30x,,,,,audio-technica,,,,,,,,,,,,,,,,#32 in Over-Ear Headphones,,,
